Availability,Licence,OrphaCode,DisorderId,DisorderName,DisorderTypeId,DisorderType,DisorderGroupId,DisorderGroup,ExpertLink,PrevalenceListCount,PrevalenceGeographies,PrevalenceEntries
,,98947,13964,Coloboma of optic disc,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98947,1,Worldwide,18450|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|6.0|23844|Worldwide|25958|Validated|ORPHANET
,,98948,13965,Congenital symblepharon,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98948,1,Worldwide,11628|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_3099574[PMID]
,,98945,13962,Coloboma of macula,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98945,1,Worldwide,18449|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|6.0|23844|Worldwide|25958|Validated|40672577[PMID]_ORPHANET
,,98943,13960,Coloboma of eye lens,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98943,1,Worldwide,18447|23669|Point prevalence|23711|Value and class|23739|1-9 / 1 000 000|0.1|23844|Worldwide|25958|Validated|ORPHANET
,,98944,13961,Coloboma of iris,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98944,1,Worldwide,18448|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|3.5|23844|Worldwide|25958|Validated|ORPHANET
,,98957,13974,Gelatinous drop-like corneal dystrophy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98957,2,Japan; Europe,7731|23669|Point prevalence|23711|Value and class|23739|1-9 / 1 000 000|0.33|24621|Japan|25958|Validated|[EXPERT]; 7732|23669|Point prevalence|23704|Class only|23739|1-9 / 1 000 000|0.0|23795|Europe|25965|Not yet validated|ORPHANET
,,98955,13972,Lisch epithelial corneal dystrophy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98955,2,Worldwide; Worldwide,7729|23697|Cases/families|23718|Case(s)|||36.0|23844|Worldwide|25958|Validated|ORPHANET; 7730|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET
,,98954,13971,Meesmann corneal dystrophy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98954,2,Worldwide; Worldwide,7727|23697|Cases/families|23718|Case(s)|||250.0|23844|Worldwide|25958|Validated|ORPHANET; 7728|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET
,,98964,13981,Lattice corneal dystrophy type I,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98964,1,Worldwide,7741|23669|Point prevalence|23704|Class only|23774|Unknown|0.0|23844|Worldwide|25958|Validated|ORPHANET
,,98963,13980,Granular corneal dystrophy type II,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98963,1,Worldwide,7740|23669|Point prevalence|23704|Class only|23774|Unknown|0.0|23844|Worldwide|25965|Not yet validated|ORPHANET
