Availability,Licence,OrphaCode,DisorderId,DisorderName,DisorderTypeId,DisorderType,DisorderGroupId,DisorderGroup,ExpertLink,TypeOfInheritanceListCount,TypeOfInheritanceIds,TypeOfInheritance,TypeOfInheritancePairs,AverageAgeOfOnsetListCount,AverageAgeOfOnsetIds,AverageAgeOfOnset,AverageAgeOfOnsetPairs
,,300382,21117,Progeroid and marfanoid aspect-lipodystrophy syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300382,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,300345,21114,Autosomal systemic lupus erythematosus,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300345,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,1,23529,Childhood,23529|Childhood
,,300359,21115,PLCG2-associated antibody deficiency and immune dysregulation,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300359,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,300333,21112,Nephrotic syndrome-epidermolysis bullosa-sensorineural deafness syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300333,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23536,Adolescent,23536|Adolescent
,,464724,24040,Fever-associated acute infantile liver failure syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464724,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23522,Infancy,23522|Infancy
,,464738,24042,Basel-Vanagaite-Smirin-Yosef syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464738,1,23417,Autosomal recessive,23417|Autosomal recessive,3,23508; 23522; 23515,Antenatal; Infancy; Neonatal,23508|Antenatal; 23522|Infancy; 23515|Neonatal
,,464760,24049,Familial cavitary optic disc anomaly,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464760,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23536; 23543,Adolescent; Adult,23536|Adolescent; 23543|Adult
,,464756,24048,Familial gastric type 1 neuroendocrine tumor,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464756,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23543,Adult,23543|Adult
,,465508,24056,Symptomatic form of HFE-related hemochromatosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=465508,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23543,Adult,23543|Adult
,,464282,24010,Spastic paraplegia-severe developmental delay-epilepsy syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464282,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23522,Infancy,23522|Infancy
,,464288,24011,Short stature-brachydactyly-obesity-global developmental delay syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464288,1,23417,Autosomal recessive,23417|Autosomal recessive,3,23508; 23522; 23515,Antenatal; Infancy; Neonatal,23508|Antenatal; 23522|Infancy; 23515|Neonatal
,,464306,24015,DYRK1A-related intellectual disability syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464306,3,23410; 23494; 23480,Autosomal dominant; Not applicable; Unknown,23410|Autosomal dominant; 23494|Not applicable; 23480|Unknown,1,23522,Infancy,23522|Infancy
,,464329,24019,Kaposiform lymphangiomatosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464329,1,23494,Not applicable,23494|Not applicable,1,23529,Childhood,23529|Childhood
,,464321,24018,Multifocal lymphangioendotheliomatosis-thrombocytopenia syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464321,1,23494,Not applicable,23494|Not applicable,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,464318,24017,Verrucous venous malformation,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464318,1,23494,Not applicable,23494|Not applicable,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,464311,24016,Intellectual disability syndrome due to a DYRK1A point mutation,21443,Etiological subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464311,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,464366,24023,NEK9-related lethal skeletal dysplasia,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464366,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23508,Antenatal,23508|Antenatal
,,464359,24022,Benign metanephric tumor,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464359,1,23494,Not applicable,23494|Not applicable,1,23557,All ages,23557|All ages
,,464343,24021,Catastrophic antiphospholipid syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464343,1,23494,Not applicable,23494|Not applicable,1,23543,Adult,23543|Adult
,,464336,24020,BENTA disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464336,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23522,Infancy,23522|Infancy
,,464453,24027,Acquired methemoglobinemia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464453,1,23494,Not applicable,23494|Not applicable,1,23557,All ages,23557|All ages
,,464443,24026,COG6-CGD,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464443,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23515,Neonatal,23515|Neonatal
,,464440,24025,"Primary dystonia, DYT27 type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464440,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23543; 23529,Adult; Childhood,23543|Adult; 23529|Childhood
,,464370,24024,Neonatal alloimmune neutropenia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464370,1,23494,Not applicable,23494|Not applicable,1,23515,Neonatal,23515|Neonatal
,,464458,24028,Paracetamol poisoning,21429,Particular clinical situation in a disease or syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=464458,1,23494,Not applicable,23494|Not applicable,1,23557,All ages,23557|All ages
,,662,6520,Lymphedema with yellow nails,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=662,0,,,,3,23543; 23529; 23515,Adult; Childhood; Neonatal,23543|Adult; 23529|Childhood; 23515|Neonatal
,,537,6522,Toxic epidermal necrolysis,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=537,1,23494,Not applicable,23494|Not applicable,1,23557,All ages,23557|All ages
,,793,6523,SAPHO syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=793,2,23424; 23494,Multigenic/multifactorial; Not applicable,23424|Multigenic/multifactorial; 23494|Not applicable,3,23536; 23543; 23550,Adolescent; Adult; Elderly,23536|Adolescent; 23543|Adult; 23550|Elderly
,,456298,23675,1p35.2 microdeletion syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=456298,1,23494,Not applicable,23494|Not applicable,1,23515,Neonatal,23515|Neonatal
,,456328,23678,X-linked myotubular myopathy-abnormal genitalia syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=456328,1,23480,Unknown,23480|Unknown,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,456333,23679,Hereditary neuroendocrine tumor of small intestine,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=456333,1,23410,Autosomal dominant,23410|Autosomal dominant,0,,,
,,456312,23676,Infantile multisystem neurologic-endocrine-pancreatic disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=456312,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23522,Infancy,23522|Infancy
,,456318,23677,Hereditary sensory neuropathy-deafness-dementia syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=456318,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23536; 23543,Adolescent; Adult,23536|Adolescent; 23543|Adult
,,454840,23666,NTHL1-related polyposis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=454840,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23543; 23550,Adult; Elderly,23543|Adult; 23550|Elderly
,,454831,23664,Acute radiation syndrome,21429,Particular clinical situation in a disease or syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=454831,1,23494,Not applicable,23494|Not applicable,1,23557,All ages,23557|All ages
,,454836,23665,Avian influenza,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=454836,1,23494,Not applicable,23494|Not applicable,1,23557,All ages,23557|All ages
,,454887,23668,Corticobasal syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=454887,0,,,,2,23543; 23550,Adult; Elderly,23543|Adult; 23550|Elderly
,,454742,23659,Variably protease-sensitive prionopathy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=454742,1,23494,Not applicable,23494|Not applicable,0,,,
,,454723,23658,Endometrioid carcinoma of ovary,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=454723,1,23494,Not applicable,23494|Not applicable,2,23543; 23550,Adult; Elderly,23543|Adult; 23550|Elderly
,,454718,23657,Holmes-Adie syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=454718,1,23494,Not applicable,23494|Not applicable,1,23543,Adult,23543|Adult
