Availability,Licence,OrphaCode,DisorderId,DisorderName,DisorderTypeId,DisorderType,DisorderGroupId,DisorderGroup,ExpertLink,TypeOfInheritanceListCount,TypeOfInheritanceIds,TypeOfInheritance,TypeOfInheritancePairs,AverageAgeOfOnsetListCount,AverageAgeOfOnsetIds,AverageAgeOfOnset,AverageAgeOfOnsetPairs
,,168588,17778,Hyperandrogenism due to cortisone reductase deficiency,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168588,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,3,23508; 23522; 23515,Antenatal; Infancy; Neonatal,23508|Antenatal; 23522|Infancy; 23515|Neonatal
,,168601,17781,Congenital enteropathy due to enteropeptidase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168601,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,1414,437,Cholestasis-lymphedema syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1414,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,168598,17780,Methionine adenosyltransferase I/III deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168598,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23522,Infancy,23522|Infancy
,,168606,17782,Seborrhea-like dermatitis with psoriasiform elements,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168606,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23529,Childhood,23529|Childhood
,,168549,17768,Axial spondylometaphyseal dysplasia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168549,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23529; 23522,Childhood; Infancy,23529|Childhood; 23522|Infancy
,,168552,17769,Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168552,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23522,Infancy,23522|Infancy
,,1154,424,Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1154,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,1,23515,Neonatal,23515|Neonatal
,,168555,17770,"Spondylometaphyseal dysplasia, A4 type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168555,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23522,Infancy,23522|Infancy
,,168558,17771,"46,XY difference of sex development-adrenal insufficiency due to CYP11A1 deficiency",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168558,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,168563,17772,"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome",21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168563,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,124,429,Diamond-Blackfan anemia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=124,1,23410,Autosomal dominant,23410|Autosomal dominant,3,23529; 23522; 23515,Childhood; Infancy; Neonatal,23529|Childhood; 23522|Infancy; 23515|Neonatal
,,168566,17773,Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168566,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,1310,431,Caffey disease,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1310,2,23410; 23480,Autosomal dominant; Unknown,23410|Autosomal dominant; 23480|Unknown,4,23508; 23529; 23522; 23515,Antenatal; Childhood; Infancy; Neonatal,23508|Antenatal; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,168569,17774,H syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168569,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23529,Childhood,23529|Childhood
,,168572,17775,Native American myopathy,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168572,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,125,430,Bloom syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=125,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,90,417,Argininemia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=90,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23529; 23522,Childhood; Infancy,23529|Childhood; 23522|Infancy
,,168443,17761,Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168443,0,,,,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,1065,416,Aniridia-cerebellar ataxia-intellectual disability syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1065,3,23410; 23417; 23494,Autosomal dominant; Autosomal recessive; Not applicable,23410|Autosomal dominant; 23417|Autosomal recessive; 23494|Not applicable,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,168451,17763,Spondyloepimetaphyseal dysplasia-abnormal dentition syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168451,0,,,,1,23522,Infancy,23522|Infancy
,,168454,17764,NANS-CDG,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168454,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23522,Infancy,23522|Infancy
,,1146,421,Distal arthrogryposis type 1,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1146,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,1143,420,Neurogenic arthrogryposis multiplex congenita,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1143,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23515,Neonatal,23515|Neonatal
,,1147,422,Sheldon-Hall syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1147,2,23410; 23494,Autosomal dominant; Not applicable,23410|Autosomal dominant; 23494|Not applicable,1,23515,Neonatal,23515|Neonatal
,,168544,17767,"Spondylometaphyseal dysplasia, Golden type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168544,1,23431,X-linked recessive,23431|X-linked recessive,1,23564,No data available,23564|No data available
,,246,478,Postaxial acrofacial dysostosis,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=246,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,1770,476,XY type gonadal dysgenesis-associated anomalies syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1770,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23515,Neonatal,23515|Neonatal
,,1775,477,Dyskeratosis congenita,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1775,3,23410; 23417; 23431,Autosomal dominant; Autosomal recessive; X-linked recessive,23410|Autosomal dominant; 23417|Autosomal recessive; 23431|X-linked recessive,5,23536; 23543; 23529; 23522; 23515,Adolescent; Adult; Childhood; Infancy; Neonatal,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,1764,474,Familial dysautonomia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1764,1,23417,Autosomal recessive,23417|Autosomal recessive,3,23529; 23522; 23515,Childhood; Infancy; Neonatal,23529|Childhood; 23522|Infancy; 23515|Neonatal
,,235,472,Dubowitz syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=235,1,23480,Unknown,23480|Unknown,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,239,473,Dyggve-Melchior-Clausen disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=239,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23522,Infancy,23522|Infancy
,,1672,470,Diencephalic syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1672,1,23494,Not applicable,23494|Not applicable,4,23536; 23543; 23529; 23522,Adolescent; Adult; Childhood; Infancy,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy
,,833,468,Encephalopathy due to sulfite oxidase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=833,1,23417,Autosomal recessive,23417|Autosomal recessive,3,23508; 23522; 23515,Antenatal; Infancy; Neonatal,23508|Antenatal; 23522|Infancy; 23515|Neonatal
,,167635,17682,Scleromyxedema,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=167635,0,,,,1,23543,Adult,23543|Adult
,,765,467,Pyruvate dehydrogenase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=765,3,23417; 23494; 23445,Autosomal recessive; Not applicable; X-linked dominant,23417|Autosomal recessive; 23494|Not applicable; 23445|X-linked dominant,3,23529; 23522; 23515,Childhood; Infancy; Neonatal,23529|Childhood; 23522|Infancy; 23515|Neonatal
,,395,465,Homocystinuria due to methylene tetrahydrofolate reductase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=395,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,408,463,Isolated glycerol kinase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=408,1,23431,X-linked recessive,23431|X-linked recessive,1,23557,All ages,23557|All ages
,,148,462,Multiple carboxylase deficiency,21436,Clinical group,36540,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=148,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,147,461,Carbamoyl-phosphate synthetase 1 deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=147,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,23,459,Argininosuccinic aciduria,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=23,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,45,458,Adenosine monophosphate deaminase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=45,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,226,457,Dihydropteridine reductase deficiency,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=226,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,217,456,Isolated Dandy-Walker malformation,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=217,1,23424,Multigenic/multifactorial,23424|Multigenic/multifactorial,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,1556,454,Cutis marmorata telangiectatica congenita,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1556,1,23494,Not applicable,23494|Not applicable,1,23515,Neonatal,23515|Neonatal
,,1538,450,Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1538,1,23410,Autosomal dominant,23410|Autosomal dominant,0,,,
,,1496,448,Corpus callosum agenesis-neuronopathy syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1496,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,417,508,Neonatal severe primary hyperparathyroidism,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=417,2,23417; 23494,Autosomal recessive; Not applicable,23417|Autosomal recessive; 23494|Not applicable,1,23515,Neonatal,23515|Neonatal
,,2233,510,Hypogonadism-mitral valve prolapse-intellectual disability syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2233,1,23480,Unknown,23480|Unknown,1,23522,Infancy,23522|Infancy
,,2248,511,Hypoplastic left heart syndrome,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2248,1,23480,Unknown,23480|Unknown,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,446,504,Neonatal hemochromatosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=446,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23515,Neonatal,23515|Neonatal
,,2135,505,Cutaneous mastocytosis-deafness-microtia syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2135,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,2140,506,Congenital diaphragmatic hernia,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2140,2,23424; 23494,Multigenic/multifactorial; Not applicable,23424|Multigenic/multifactorial; 23494|Not applicable,1,23515,Neonatal,23515|Neonatal
,,2185,507,Congenital hydrocephalus,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2185,1,23494,Not applicable,23494|Not applicable,1,23508,Antenatal,23508|Antenatal
,,2116,502,Hartnup disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2116,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,2118,503,Hawkinsinuria,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2118,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,351,498,Galactosialidosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=351,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,2020,493,Congenital fiber-type disproportion myopathy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2020,3,23410; 23417; 23431,Autosomal dominant; Autosomal recessive; X-linked recessive,23410|Autosomal dominant; 23417|Autosomal recessive; 23431|X-linked recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,2053,494,Freeman-Sheldon syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2053,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,1931,489,Frontal encephalocele,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1931,0,,,,3,23508; 23522; 23515,Antenatal; Infancy; Neonatal,23508|Antenatal; 23522|Infancy; 23515|Neonatal
,,295,488,Fetal parvovirus syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=295,1,23494,Not applicable,23494|Not applicable,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,1933,491,"Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1933,1,23438,Mitochondrial inheritance,23438|Mitochondrial inheritance,1,23522,Infancy,23522|Infancy
,,1880,485,Ebstein malformation of the tricuspid valve,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1880,2,23410; 23494,Autosomal dominant; Not applicable,23410|Autosomal dominant; 23494|Not applicable,1,23557,All ages,23557|All ages
,,255,484,Dopa-responsive dystonia,21436,Clinical group,36540,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=255,3,23410; 23417; 23494,Autosomal dominant; Autosomal recessive; Not applicable,23410|Autosomal dominant; 23417|Autosomal recessive; 23494|Not applicable,1,23529,Childhood,23529|Childhood
,,1915,487,Fetal alcohol syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1915,1,23494,Not applicable,23494|Not applicable,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,1885,486,Isolated ectopia lentis,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1885,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,1851,481,Multicystic dysplastic kidney,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1851,1,23494,Not applicable,23494|Not applicable,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,660,551,Omphalocele,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=660,1,23494,Not applicable,23494|Not applicable,1,23508,Antenatal,23508|Antenatal
,,635,548,Neuroblastoma,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=635,1,23494,Not applicable,23494|Not applicable,5,23536; 23508; 23529; 23522; 23515,Adolescent; Antenatal; Childhood; Infancy; Neonatal,23536|Adolescent; 23508|Antenatal; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,2612,549,Linear nevus sebaceus syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2612,1,23494,Not applicable,23494|Not applicable,3,23529; 23522; 23515,Childhood; Infancy; Neonatal,23529|Childhood; 23522|Infancy; 23515|Neonatal
,,2635,546,Metatropic dysplasia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2635,2,23410; 23494,Autosomal dominant; Not applicable,23410|Autosomal dominant; 23494|Not applicable,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,2655,547,Thanatophoric dysplasia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2655,2,23410; 23494,Autosomal dominant; Not applicable,23410|Autosomal dominant; 23494|Not applicable,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,606,545,Proximal myotonic myopathy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=606,1,23410,Autosomal dominant,23410|Autosomal dominant,3,23536; 23543; 23550,Adolescent; Adult; Elderly,23536|Adolescent; 23543|Adult; 23550|Elderly
,,705,558,Pendred syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=705,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,2801,556,Juvenile Paget disease,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2801,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23529,Childhood,23529|Childhood
,,884,557,Pallister-Killian syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=884,2,23494; 23480,Not applicable; Unknown,23494|Not applicable; 23480|Unknown,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,2785,555,Osteopetrosis with renal tubular acidosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2785,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,2744,552,Horizontal gaze palsy with progressive scoliosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2744,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23536; 23529,Adolescent; Childhood,23536|Adolescent; 23529|Childhood
,,2746,553,Opsismodysplasia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2746,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23515,Neonatal,23515|Neonatal
,,2971,567,Peroxisomal acyl-CoA oxidase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2971,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23515,Neonatal,23515|Neonatal
,,2970,566,Prune belly syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2970,3,23410; 23494; 23431,Autosomal dominant; Not applicable; X-linked recessive,23410|Autosomal dominant; 23494|Not applicable; 23431|X-linked recessive,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,744,565,Proteus syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=744,1,23494,Not applicable,23494|Not applicable,1,23522,Infancy,23522|Infancy
,,2903,564,Familial spontaneous pneumothorax,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2903,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23536; 23543,Adolescent; Adult,23536|Adolescent; 23543|Adult
,,2901,563,Neuralgic amyotrophy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2901,2,23410; 23494,Autosomal dominant; Not applicable,23410|Autosomal dominant; 23494|Not applicable,1,23543,Adult,23543|Adult
,,718,562,Isolated Pierre Robin sequence,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=718,4,23410; 23424; 23494; 23480,Autosomal dominant; Multigenic/multifactorial; Not applicable; Unknown,23410|Autosomal dominant; 23424|Multigenic/multifactorial; 23494|Not applicable; 23480|Unknown,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,290,575,Congenital rubella syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=290,1,23494,Not applicable,23494|Not applicable,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,3071,574,Costello syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3071,2,23410; 23494,Autosomal dominant; Not applicable,23410|Autosomal dominant; 23494|Not applicable,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,763,571,Pycnodysostosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=763,1,23417,Autosomal recessive,23417|Autosomal recessive,4,23536; 23543; 23529; 23522,Adolescent; Adult; Childhood; Infancy,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy
,,2983,570,Difference of sex development-intellectual disability syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2983,1,23480,Unknown,23480|Unknown,1,23515,Neonatal,23515|Neonatal
,,2301,516,Congenital short bowel syndrome,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2301,2,23417; 23431,Autosomal recessive; X-linked recessive,23417|Autosomal recessive; 23431|X-linked recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,469,517,Hereditary fructose intolerance,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=469,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,2308,518,Jacobsen syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2308,2,23494; 23480,Not applicable; Unknown,23494|Not applicable; 23480|Unknown,1,23508,Antenatal,23508|Antenatal
,,2318,519,Joubert syndrome with oculorenal defect,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2318,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,2253,512,Foveal hypoplasia-presenile cataract syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2253,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23543,Adult,23543|Adult
