OrphaCode,DisorderName,DisorderType,ExpertLink,IsLeaf,OrphaCodePath,ClassificationPath,ClassificationTypes,ClassificationDepth
309169,"Sandhoff disease, adult form",Clinical subtype,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=309169,1,98006 > 182070 > 309152 > 796 > 309169,"Rare neurologic disease > Rare neurodegenerative disease > GM2 gangliosidosis > Sandhoff disease > Sandhoff disease, adult form",Category > Category > Clinical group > Disease > Clinical subtype,5
845,Tay-Sachs disease,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=845,0,98006 > 182070 > 309152 > 845,Rare neurologic disease > Rare neurodegenerative disease > GM2 gangliosidosis > Tay-Sachs disease,Category > Category > Clinical group > Disease,4
309178,"Tay-Sachs disease, infantile form",Clinical subtype,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=309178,1,98006 > 182070 > 309152 > 845 > 309178,"Rare neurologic disease > Rare neurodegenerative disease > GM2 gangliosidosis > Tay-Sachs disease > Tay-Sachs disease, infantile form",Category > Category > Clinical group > Disease > Clinical subtype,5
309185,"Tay-Sachs disease, juvenile form",Clinical subtype,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=309185,1,98006 > 182070 > 309152 > 845 > 309185,"Rare neurologic disease > Rare neurodegenerative disease > GM2 gangliosidosis > Tay-Sachs disease > Tay-Sachs disease, juvenile form",Category > Category > Clinical group > Disease > Clinical subtype,5
309192,"Tay-Sachs disease, adult form",Clinical subtype,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=309192,1,98006 > 182070 > 309152 > 845 > 309192,"Rare neurologic disease > Rare neurodegenerative disease > GM2 gangliosidosis > Tay-Sachs disease > Tay-Sachs disease, adult form",Category > Category > Clinical group > Disease > Clinical subtype,5
309246,"GM2 gangliosidosis, AB variant",Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=309246,1,98006 > 182070 > 309152 > 309246,"Rare neurologic disease > Rare neurodegenerative disease > GM2 gangliosidosis > GM2 gangliosidosis, AB variant",Category > Category > Clinical group > Disease,4
313850,Infantile cerebellar-retinal degeneration,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=313850,1,98006 > 182070 > 313850,Rare neurologic disease > Rare neurodegenerative disease > Infantile cerebellar-retinal degeneration,Category > Category > Disease,3
314566,Primary progressive apraxia of speech,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=314566,1,98006 > 182070 > 314566,Rare neurologic disease > Rare neurodegenerative disease > Primary progressive apraxia of speech,Category > Category > Disease,3
352654,Early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=352654,1,98006 > 182070 > 352654,Rare neurologic disease > Rare neurodegenerative disease > Early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome,Category > Category > Disease,3
352723,Attenuated Chédiak-Higashi syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=352723,1,98006 > 182070 > 352723,Rare neurologic disease > Rare neurodegenerative disease > Attenuated Chédiak-Higashi syndrome,Category > Category > Disease,3
357043,Amyotrophic lateral sclerosis type 4,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=357043,1,98006 > 182070 > 357043,Rare neurologic disease > Rare neurodegenerative disease > Amyotrophic lateral sclerosis type 4,Category > Category > Disease,3
